name;site;code;type;longitude;latitude;height
Italia;Brindisi;APPVLEI;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Sant Vicenc dels Horts;SYNE;Pascual 1;2.007994;41.396145;0
Germania Superior;Augst;CSEMPRONIPOLYCLITI;Dressel 20;7.717205;47.536818;0
Britannia;London;PAVLVSF;Mortarium;-0.093145;51.514248;0
Italia;Brindisi;CTESO;Brindisian amphora;17.933333;40.633333;0
Germania Superior;Bingen;MQFF;Dressel 20;7.899198;49.966747;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Britannia;Corbridge;VIRGINENSIA;Dressel 20;-2.016667;54.966667;0
Germania Superior;Mainz;MAR;Dressel 20;8.279096;49.984188;0
Narbonensis;Narbonne;CSTLA;Dressel 20;3.008816;43.184417;0
Germania Superior;Mainz;MERCAT;Dressel 2-4 Loire Basin;8.279096;49.984188;0
Germania Superior;Worms;QMR;Dressel 20;8.359164;49.632784;0
Narbonensis;Cap du Dramont;STMARCSTATORFEC;Mortarium;6.854715;43.415007;0
Narbonensis;Vienne;CIALB;Dressel 20;4.873453;45.524785;0
Tarraconensis;Mataro;AS;Dressel 2-4 Catalan;2.444503;41.542113;0
Tarraconensis;Ampurias;LVOLTEIL;Amphora incerta;3.117809;42.139543;0
Aegyptus;Alexandria;LFO;Dressel 20;29.955266;31.215645;0
Italia;Brindisi;EPICADVS;Brindisian amphora;17.933333;40.633333;0
Britannia;Carlisle;VIRAV;Dressel 20;-2.933333;54.883333;0
Corsica et Sardinia;Iles Lavezzi;ALBA;Dressel 2-4 Catalan;9.254185;41.341096;0
Tarraconensis;Badalona;CANTESTI;Pascual 1;2.244789;41.447145;0
Italia;Canale Giancola;ARCHELA;Brindisian amphora;17.85;40.683333;0
Aquitania;Mouliets-et-Villemartin;NALFINF;Dressel 1;-0.016667;44.833333;0
Narbonensis;Narbonne;ACIRGI;Dressel 20;3.008816;43.184417;0
Baetica;Lora del Rio;MAEMRVS;Dressel 20;-5.52751;37.658961;0
Lugdunensis;Mont-Beuvray;THS;Dressel 1;4.032143;46.92678;0
Italia;Brindisi;BAHANO;Brindisian amphora;17.933333;40.633333;0
Baetica;Lora del Rio;VPC;Dressel 20;-5.52751;37.658961;0
Germania Superior;Mainz;TELEPH;Dressel 20;8.279096;49.984188;0
Germania Superior;Strasbourg;QPPHRYXI;Dressel 20;7.787355;48.600381;0
Narbonensis;Narbonne;CLEANTI;Pascual 1;3.008816;43.184417;0
Aquitania;Cahors;MSFPC;Dressel 20;1.43924;44.454598;0
Italia;Canale Giancola;APELLAE;Brindisian amphora;17.85;40.683333;0
Germania Inferior;Voorburg;VIRIII;Dressel 20;4.388258;52.069049;0
Baetica;Puerto Real;CLSOC;Amphora incerta;-6.191022;36.528604;0
Germania Superior;Mainz;SEXIRVF;Dressel 20;8.279096;49.984188;0
Baetica;Carmona;STT;Dressel 20;-5.646083;37.471248;0
Britannia;London;QCC;Dressel 20;-0.093145;51.514248;0
Italia;Brindisi;NOYMHNIO;Brindisian amphora;17.933333;40.633333;0
Britannia;Chester;SCALCELS;Dressel 20;-2.916667;53.2;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Mauretania Tingitana;Sidi Ali ben ahmed (Thamusida);LIT;Dressel 20;-6.494247;34.334284;0
Italia;Padova;CLAEKBAS;Dressel 6B;11.883333;45.416667;0
Tarraconensis;Ampurias;P;Amphora incerta;3.117809;42.139543;0
Germania Superior;Mainz;QCI;Dressel 20;8.279096;49.984188;0
Narbonensis;Rade d'Agay;N;Operculum;6.866667;43.433333;0
Germania Superior;Mainz;FPAT;Dressel 20;8.279096;49.984188;0
Tarraconensis;Reus;QMODESTI;Dressel 2-4 Catalan;1.107423;41.155913;0
Italia;Brindisi;APELAES;Brindisian amphora;17.933333;40.633333;0
Narbonensis;Saint-Romain-en-Gal;PIVLICRISPI;Dressel 20;4.860743;45.531592;0
Belgica;Amiens;QVALERIESVNERTI;Amphora incerta;2.3;49.9;0
Tarraconensis;Barcelona;ET;Dressel 2-4 Catalan;2.1741;41.398371;0
Narbonensis;Rade d'Agay;CE;Dressel 2-4 Catalan;6.866667;43.433333;0
Narbonensis;Rade d'Agay;A;Dressel 2-4 Catalan;6.866667;43.433333;0
Italia;Vicenza;INI;Dressel 6B;11.55;45.55;0
Tarraconensis;Ampurias;IICCLLM;Dressel 20;3.117809;42.139543;0
Achaia;Delo;DIODOT;Brindisian amphora;25.267778;37.3925;0
Italia;Ostia Antica;TVP;Gauloise 4;12.283333;41.75;0
Germania Superior;Windisch;PABET;Amphora incerta;8.220846;47.476756;0
Italia;Canale Giancola;LIBO;Brindisian amphora;17.85;40.683333;0
Germania Superior;Niederbieber;LFC;Dressel 20;8.566917;50.271515;0
Baetica;Ecija;LIVNIMELISSI;Dressel 20;-5.082599;37.542203;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Italia;Padova;YME;Dressel 6B;11.883333;45.416667;0
Lugdunensis;Mont-Beuvray;MART;Dressel 1;4.032143;46.92678;0
Italia;Ostia Antica;CVYVC;Dressel 20;12.283333;41.75;0
Tarraconensis;Sant Boi de Llobregat;QVA;Dressel 2-4 Catalan;2.040791;41.342647;0
Italia;Canale Giancola;ARCHELA;Brindisian amphora;17.85;40.683333;0
Germania Inferior;Bonn;VIR;Dressel 20;7.095485;50.73438;0
Britannia;Winchester;PASSERARIA;Dressel 20;-1.316667;51.016667;0
Italia;Brindisi;MENOPILVS;Brindisian amphora;17.933333;40.633333;0
Belgica;Trier;APM;Gauloise 4;6.636628;49.75979;0
Britannia;London;PVIII;Dressel 20;-0.093145;51.514248;0
Lugdunensis;Cagny;LAEL;Dressel 20;-0.256299;49.145801;0
Raetia;Kempten;PNN;Dressel 20;10.315858;47.732209;0
Tarraconensis;Sant Vicenc dels Horts;F;Pascual 1;2.007994;41.396145;0
Narbonensis;Rade d'Agay;SAB;Dressel 2-4 Catalan;6.866667;43.433333;0
Narbonensis;Golfe de Fos;MAHE;Dressel 1B;4.942851;43.383543;0
Tarraconensis;Sant Vicenc dels Horts;SYNE;Pascual 1;2.007994;41.396145;0
Tarraconensis;Badalona;MPORCIMPORC;Pascual 1;2.244789;41.447145;0
Italia;Brindisi;LFANNI;Brindisian amphora;17.933333;40.633333;0
Baetica;Palma del Rio;LCT;Dressel 20;-5.281208;37.700239;0
Germania Superior;Wiesbaden;OCNIMMINCO;Dressel 20;8.249322;50.082582;0
Mauretania Tingitana;Sale (Sala);VIRAV;Dressel 20;-6.79846;34.0531;0
Narbonensis;Narbonne;CIALB;Dressel 20;3.008816;43.184417;0
Caledonia;Castlecary;VIRGINENSIA;Dressel 20;-3.95;55.983333;0
Narbonensis;Arles;LCP;Dressel 20;4.636331;43.681659;0
Narbonensis;Baie de la Ciotat;PILOPILOTA;Dressel 1;5.65;43.166668;0
Italia;Oderzo;LAE;Dressel 6B;12.488056;45.78;0
Germania Superior;Strasbourg;PORCPR;Dressel 20;7.787355;48.600381;0
Lusitania;Troia;LEVGEN;Keay 16;-8.29339;40.079493;0
Tarraconensis;Cartagena;ERD;Brindisian amphora;-0.986232;37.605121;0
Aegyptus;Fayum;LVCRIOAPPVLEI;Brindisian amphora;30.841804;29.309949;0
Narbonensis;Narbonne;OIVLITHEOPHIL;Pascual 1;3.008816;43.184417;0
Narbonensis;Port-Vendres;PHILO;Dressel 20;3.104371;42.517594;0
Germania Superior;Strasbourg;OPTATIF;Dressel 20;7.787355;48.600381;0
Tarraconensis;Alayor;HM;Pascual 1;4.14196;39.934563;0
Narbonensis;Golfe de Fos;BAR;Dressel 2-4 Catalan;4.942851;43.383543;0
Germania Superior;Bad Cannstatt;MFS;Dressel 20;9.241809;48.805827;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Aquitania;Poitiers;LVRVP;Amphora incerta;0.333333;46.583333;0
Narbonensis;Le Caylar;T;Amphora incerta;3.319274;43.862848;0
Germania Inferior;Koln;BVCCI;Dressel 20;6.95;50.933333;0
Narbonensis;Toulouse;E;Pascual 1;1.433188;43.599516;0
Italia;Canale Giancola;ARCHELAVS;Brindisian amphora;17.85;40.683333;0
Germania Superior;Mainz;CANTONIQVIETI;Dressel 20;8.279096;49.984188;0
Italia;Ostia Antica;SAXOFERREO;Dressel 20;12.283333;41.75;0
Britannia;Chesters;LCM;Dressel 20;-2.15;55.016667;0
Tarraconensis;Badalona;NP;Dressel 2-4 Catalan;2.244789;41.447145;0
Italia;Canale Giancola;LVKAON;Brindisian amphora;17.85;40.683333;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Britannia;Colchester;CALLISTVS;Dressel 20;0.9;51.883333;0
Lusitania;Peniche;LARVENIRVSTICI;Amphora incerta;-9.380439;39.357486;0
Lugdunensis;Rouen;CIALB;Dressel 20;1.083333;49.433333;0
Tarraconensis;Badalona;LPEA;Dressel 20;2.244789;41.447145;0
Italia;Marano Lagunare;IMPAVGGER;Dressel 6B;13.169167;45.766389;0
Italia;Brindisi;CVEHILI;Brindisian amphora;17.933333;40.633333;0
Aegyptus;Alexandria;APMA;Dressel 20;29.955266;31.215645;0
Italia;Ostia Antica;APM;Gauloise 4;12.283333;41.75;0
Italia;Fiesole;CINA;Amphora incerta;11.283333;43.8;0
Mauretania Tingitana;Sidi Ali ben ahmed (Thamusida);LCOD;Africana;-6.494247;34.334284;0
Narbonensis;Entremont;T;Dressel 1;6.389464;45.956037;0
Italia;Canale Giancola;EPIGENVS;Brindisian amphora;17.85;40.683333;0
Lugdunensis;Lyon?;SES;Dressel 1;4.846711;45.748457;0
Lugdunensis;Mont-Beuvray;SES;Dressel 1;4.032143;46.92678;0
Lugdunensis;Angers;MMRPI;Dressel 20;-0.54774;47.473806;0
Baetica;Ecija;SEDAVITI;Dressel 20;-5.082599;37.542203;0
Italia;Canale Giancola;APOLONI;Brindisian amphora;17.85;40.683333;0
Italia;Firenze;ANTAEVS;Amphora incerta;11.333333;43.833333;0
Narbonensis;Vienne;PIVLICRISPI;Dressel 20;4.873453;45.524785;0
Baetica;Puerto Real;MAAAT;Amphora incerta;-6.191022;36.528604;0
Italia;Oderzo;OPTATIETMARCELLI;Dressel 6A;12.488056;45.78;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Tarraconensis;Mataro;SIGNUM;Dressel 2-4 Catalan;2.444503;41.542113;0
Germania Inferior;Nijmegen;LVALERI;Dressel 20;5.866667;51.833333;0
Belgica;Villeneuve-Saint-Germain;B;Amphora incerta;3.359518;49.379764;0
Tarraconensis;Ampurias;M;Dressel 20;3.117809;42.139543;0
Germania Superior;Bad Ems;LQS;Dressel 20;7.717548;50.332737;0
Tarraconensis;Montmelo;MAGON;Tripolitanian 1;2.24743;41.55207;0
Narbonensis;Narbonne;QFS;Pascual 1;3.008816;43.184417;0
Corsica et Sardinia;Porto Torres;CCAP;Africana 2D Grande;8.397222;40.835;0
Tarraconensis;Mataro;PHR;Pascual 1;2.444503;41.542113;0
Britannia;Southwark;CELSI;Dressel 20;-0.083333;51.5;0
Narbonensis;Port-Vendres;SATVRN;Dressel 20;3.104371;42.517594;0
Narbonensis;Chateau Rousillon;SEST;Amphora incerta;2.946711;42.710403;0
Narbonensis;Narbonne;ML;Pascual 1;3.008816;43.184417;0
Italia;Brindisi;DAMA;Brindisian amphora;17.933333;40.633333;0
Baetica;Hornachuelos;LFC;Dressel 20;-5.233333;37.833333;0
Lugdunensis;Les Andelys;MAR;Dressel 20;1.416667;49.25;0
Lugdunensis;Lyon?;LCAE;Dressel 20;4.846711;45.748457;0
Tarraconensis;Ampurias;QCCL;Dressel 20;3.117809;42.139543;0
Narbonensis;Toulon;APM;Gauloise 4;5.941712;43.117705;0
Tarraconensis;Cartagena;DOL;Brindisian amphora;-0.986232;37.605121;0
Italia;Brindisi;APOLLONI;Brindisian amphora;17.933333;40.633333;0
Baetica;Alcolea del Rio;N;Dressel 20;-5.666942;37.615058;0
Baetica;Carmona;CFS;Dressel 20;-5.646083;37.471248;0
Italia;Lecce;DIODOT;Brindisian amphora;18.183333;40.383333;0
Aquitania;Poitiers;PHILOXSAELI;Amphora incerta;0.333333;46.583333;0
Italia;Padova;CLAEKBAI;Dressel 6B;11.883333;45.416667;0
Narbonensis;Rade d'Agay;CIAS;Dressel 2-4 Catalan;6.866667;43.433333;0
Italia;Brindisi;DAMA;Brindisian amphora;17.933333;40.633333;0
Caledonia;Falkirk;QIM;Dressel 20;-3.766667;56;0
Tarraconensis;Ampurias;ANTH;Dressel 8;3.117809;42.139543;0
Germania Superior;Sierentz;MATVRI;Gauloise 1;7.454263;47.658519;0
Italia;Fiorano Modenese;TIMOE;Dressel 6A;10.816667;44.533333;0
Germania Superior;Zofingen;AGRICOLAE;Dressel 20;7.947274;47.289945;0
Germania Superior;Bad Wimpfen;LFC;Dressel 20;9.156485;49.229708;0
Germania Superior;Hedelbergen;CIALB;Dressel 20;8.862251;50.236768;0
Narbonensis;Murviel-les-Montpellier;CANI;Beltran 2B;3.73858;43.606282;0
Aquitania;Rodez;FCESCO;Dressel 20;2.572616;44.35237;0
Italia;Brindisi;VHEILI;Brindisian amphora;17.933333;40.633333;0
Lugdunensis;Nuits-Saint-Georges;NERVAE;Dressel 20;4.949001;47.136829;0
Italia;Brindisi;BAHANO;Brindisian amphora;17.933333;40.633333;0
Corsica et Sardinia;Porto-Vecchio;EVP;Dressel 2-4 Catalan;9.279907;41.589364;0
Britannia;Chester;ROMANI;Dressel 20;-2.916667;53.2;0
Italia;Rimini;EPEPEOSTHEDHTOYSMINTHIOY;Amphora incerta;12.580833;44.063333;0
Narbonensis;Saint-Romain-en-Gal;PHILO;Dressel 20;4.860743;45.531592;0
Italia;Vicenza;LAEKH;Dressel 6B;11.55;45.55;0
Italia;Este;NICEF;Lamboglia 2;11.65;45.233333;0
Narbonensis;Nimes;LVALERIVITALIS;Dressel 20;4.359623;43.833778;0
Aegyptus;Fayum;LANINIAS;Brindisian amphora;30.841804;29.309949;0
Tarraconensis;Badalona;PROTE;Lamboglia 2;2.244789;41.447145;0
Narbonensis;Antibes;MA;Dressel 1B;7.127766;43.562407;0
Baetica;Ecija;QCCFC;Dressel 20;-5.082599;37.542203;0
Italia;Ostia Antica;LIVNIMELISSI;Dressel 20;12.283333;41.75;0
Narbonensis;Ardeche (Alba);BELLICI;Dressel 20;4.64761;44.264945;0
Corsica et Sardinia;Iles Lavezzi;PR;Dressel 2-4 Catalan;9.254185;41.341096;0
Narbonensis;Vienne;CMARISILVANI;Dressel 20;4.873453;45.524785;0
Aquitania;Saint-Sever-de-Rustan;TIBERI;Dressel 1;0.22391;43.350347;0
Baetica;Lora del Rio;CMM;Dressel 20;-5.52751;37.658961;0
Italia;Cremona;PHILIP;Lamboglia 2;10.033333;45.116667;0
Britannia;London;PORLAR;Dressel 20;-0.093145;51.514248;0
Baetica;Lora del Rio;LCM;Dressel 20;-5.52751;37.658961;0
Tarraconensis;Sant Vicenc dels Horts;SIGNUM;Pascual 1;2.007994;41.396145;0
Britannia;Edinburgh;ENNIORVMIVLIORVM;Dressel 20;1.333333;51.283333;0
Narbonensis;Vieille-Toulouse;PERDICAS;Brindisian amphora;1.447891;43.522994;0
Aegyptus;Alexandria;VEHILI;Brindisian amphora;29.955266;31.215645;0
Italia;Vercelli;BAHANO;Brindisian amphora;8.416667;45.316667;0
Narbonensis;Vaucluse;BELLICANAPAGALENI;Dressel 20;5.166667;44;0
Asia;Selcuk (Ephesus);STABV;Brindisian amphora;27.372747;37.948564;0
Tarraconensis;Sant Vicenc dels Horts;PRI;Dressel 2-4 Catalan;2.007994;41.396145;0
Dalmatia;Metkovic;SERAPIO;Lamboglia 2;17.648333;43.054167;0
Narbonensis;Le Caylar;VLVMI;Amphora incerta;3.319274;43.862848;0
Italia;Padova;CCARFRONTO;Dressel 6A;11.883333;45.416667;0
Italia;Canale Giancola;ANDRONICI;Brindisian amphora;17.85;40.683333;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Britannia;Wroxeter;LSL;Dressel 20;-2.65;52.666667;0
Italia;Canale Giancola;ARCHELA;Brindisian amphora;17.85;40.683333;0
Narbonensis;Saint-Romain-en-Gal;ENNIORVMIVLIORVM;Dressel 20;4.860743;45.531592;0
Italia;Modena;VARIPACVARIPACC;Amphora incerta;10.9;44.5;0
Aquitania;Sancerre;ATITAE;Dressel 20;2.834475;47.328891;0
Germania Superior;Mainz;LIVNIMELISSI;Dressel 20;8.279096;49.984188;0
Belgica;Boviolles;AB;Dressel 1;5.416844;48.647847;0
Baetica;Lora del Rio;MIM;Dressel 20;-5.52751;37.658961;0
Narbonensis;Narbonne;CE;Pascual 1;3.008816;43.184417;0
Tarraconensis;Sant Boi de Llobregat;QVA;Pascual 1;2.040791;41.342647;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Britannia;Cirencester;IMIP;Dressel 20;-1.983333;51.733333;0
Britannia;Warrington;AIM;Dressel 20;-2.6;53.383333;0
Germania Superior;Vertault;PVO;Amphora incerta;4.35139;47.916097;0
Aquitania;Lectoure;NA;Dressel 1;0.621069;43.934643;0
Tarraconensis;Caldes de Montbui;MCN;Pascual 1;2.169444;41.629167;0
Narbonensis;Vienne;QCR;Dressel 20;4.873453;45.524785;0
Italia;Vicenza;LAEK;Dressel 6B;11.55;45.55;0
Raetia;Bregenz;MRI;Amphora incerta;9.766667;47.5;0
Raetia;Kempten;LFO;Dressel 20;10.315858;47.732209;0
Italia;Vicenza;L;Dressel 6B;11.55;45.55;0
Narbonensis;Golfe de Fos;CENNIHISPANI;Dressel 20;4.942851;43.383543;0
Italia;Canale Giancola;LVKAON;Brindisian amphora;17.85;40.683333;0
Italia;Susa;CTV;Dressel 2-4;7.05;45.133333;0
Narbonensis;Golfe de Fos;LFO;Dressel 20;4.942851;43.383543;0
Germania Superior;Sierentz;LAR;Dressel 20;7.454263;47.658519;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Italia;Canale Giancola;DEMETRI;Brindisian amphora;17.85;40.683333;0
Narbonensis;Narbonne;IVLITHEOPHIL;Pascual 1;3.008816;43.184417;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Germania Superior;Kongen;LFO;Dressel 20;9.363795;48.683449;0
Italia;Brindisi;APELAES;Brindisian amphora;17.933333;40.633333;0
Baetica;Fuente Palmera;FCVCV;Dressel 20;-5.09965;37.704938;0
Germania Superior;Frankfurt am Main;OPTATIF;Dressel 20;8.684167;50.11552;0
Italia;Ostia Antica;PORTO;Dressel 20;12.283333;41.75;0
Tarraconensis;Sant Vicenc dels Horts;R;Dressel 2-4 Catalan;2.007994;41.396145;0
Britannia;Colchester;LVA;Dressel 20;0.9;51.883333;0
Tarraconensis;Isona;APXOY;Greco-Italica;1.046181;42.117584;0
Italia;Ostia Antica;PSAVITI;Dressel 20;12.283333;41.75;0
Tarraconensis;Badalona;A;Pascual 1;2.244789;41.447145;0
Narbonensis;Narbonne;LVOLTEIL;Pascual 1;3.008816;43.184417;0
Italia;Vercelli;ALIBAN;Dressel ante 6B;8.416667;45.316667;0
Italia;Vercelli;CI;Dressel 6B;8.416667;45.316667;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Narbonensis;Roanne;RG;Dressel 1B;5.265397;44.690917;0
Caledonia;Falkirk;DOM;Dressel 20;-3.766667;56;0
Italia;Brindisi;LLVCI;Brindisian amphora;17.933333;40.633333;0
Germania Superior;Ladenburg (Lopodunum);LIT;Dressel 20;8.608962;49.473071;0
Tarraconensis;Sant Vicenc dels Horts;SIGNUM;Dressel 2-4 Catalan;2.007994;41.396145;0
